05:44:32:093 [ALWAYS]	GUDE Logging Started
05:44:32:094 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
05:44:32:094 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
05:44:32:094 [ERROR]	Initialize resume cache pointer failure
05:44:32:095 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
05:44:32:095 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
05:44:34:873 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
05:44:34:873 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
05:44:34:873 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
05:44:34:873 [ERROR]	Initialize resume cache pointer failure
05:44:34:873 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
05:44:34:873 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
